"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
2,"Buschhoven","Buschhoven (Swisttal)","50,681944","6,978333","1547","1547","WMD","WMD","ei","au","au",1,1547,6.978333,50.681944
3,"Chiemsee",NA,"47,86194444","12,40111111","1462","1393-1462","OOD","Baiern","ei","au","au",1,1462,12.40111111,47.86194444
2,"Coenen","Könen","49,679628","6,554058","1508","1508","WMD","WMD","ei","au","au",1,1508,6.554058,49.679628
2,"Dreiborn","Dreiborn (Schleiden) ","50,545556","6,409722","1419","1419","WMD","WMD","ei","au","au",1,1419,6.409722,50.545556
5,"Ebersheimmuenster",NA,"48,311111","7,524167","1612","1612","Elsass","Elsass","ei","au","au",1,1612,7.524167,48.311111
6,"Ehringen bei Nördlingen",NA,"48,877778","10,473889","1484","1484","WOD","Schwaben","ei","au","au",1,1484,10.473889,48.877778
6,"Eibelstadt",NA,"49,72388889","10,00083333","1396","1396","MDT","Franken","ei","au","au",1,1396,10.00083333,49.72388889
2,"Eidenborn Falscheid (Saar)",NA,"49,39145","6,90512","1564","1564","WMD","WMD","ei","au","au",1,1564,6.90512,49.39145
2,"Eidinger Eller (Mosel)","Ediger-Eller","50,098056","7,150833","1550","16. Jh.","WMD","WMD","ei","au","au",1,1550,7.150833,50.098056
2,"Emmel (Mosel)",NA,"49,883056","6,916667","1532","1532","WMD","WMD","ei","au","au",1,1532,6.916667,49.883056
2,"Esch",NA,"49,898056","6,850278","1561","1561","WMD","WMD","ei","au","au",1,1561,6.850278,49.898056
1,"Fischbach, Waldfischbach bei Türkheim",NA,"49,284586","7,652663","1536","1536","WMD","WMD","ei","au","au",1,1536,7.652663,49.284586
5,"Gleiszweiler",NA,"49","8","1568","1568","Elsass","WMD","ei","au","au",1,1568,8,49
2,"Godesberg (bei Bonn)",NA,"50,684722","7,155","1577","1577","WMD","WMD","ei","au","au",1,1577,7.155,50.684722
6,"Goldburghausen bei Nördlingen",NA,"48,850556","10,433889","1575","1575","WOD","Schwaben","ei","au","au",1,1575,10.433889,48.850556
2,"Graach",NA,"49,935","7,0625","1586","1586","WMD","WMD","ei","au","au",1,1586,7.0625,49.935
5,"Groß Bockenheim",NA,"50","8","1300","1300","WMD","WMD","ei","au","au",1,1300,8,50
1,"Haselach (bei Molsheim)",NA,"48,550556","7,329722","1336","1336","Elsass","Elsass","ei","u","u",0,1336,7.329722,48.550556
1,"Hengweiler",NA,"48,667222","7,333333","1584","1584","Elsass","Elsass","ei","au","au",1,1584,7.333333,48.667222
5,"Hochstetten",NA,"50","8","1543","1543","WMD","WMD","ei","au","au",1,1543,8,50
6,"Holzkirchen bei Öttingen",NA,"48,955278","10,605278","1450","1450","WOD","Schwaben","ei","au","au",1,1450,10.605278,48.955278
6,"Huisheim bei Allerheim",NA,"48,824444","10,704722","1505","1505","WOD","Schwaben","ei","au","au",1,1505,10.704722,48.824444
2,"Igel",NA,"49,71","6,548056","1537","1537","WMD","WMD","ei","au","au",1,1537,6.548056,49.71
2,"Immeroth (Eifel)",NA,"50,130278","6,959444","1660","1660","WMD","WMD","ei","au","au",1,1660,6.959444,50.130278
6,"Itzlingen bei Schneidheim",NA,"48,905126","10,356232","1625","1625","WOD","Schwaben","ei","au","au",1,1625,10.356232,48.905126
2,"Kellenbach bei Kirn",NA,"49,8475","7,495","1560","1560","WMD","WMD","ei","au","au",1,1560,7.495,49.8475
2,"Kenfuss",NA,"50,088361","7,020733","1500","1500","WMD","WMD","ei","au","au",1,1500,7.020733,50.088361
2,"Krahnenforst (bei Münstereifel)","Neukirchen (Rheinbach) ","50,5888","6,92834","1586","1586","WMD","WMD","ei","au","au",1,1586,6.92834,50.5888
3,"Lauterbach",NA,"50,64","9,4","1469","1469","MDT","Hessen","ei","au","au",1,1469,9.4,50.64
2,"Liesdorf (Saar)",NA,"49,3025","6,758889","1458","1458","WMD","WMD","ei","u","u",0,1458,6.758889,49.3025
2,"Luxem bei Düren, Zülpich",NA,"50,319444","7,106667","1544","1544","WMD","WMD","ei","au","au",1,1544,7.106667,50.319444
6,"Markt Offingen","Offingen bei Wallerstein","48,923611","10,468056","1381","1381","WOD","Schwaben","ei","au","au",1,1381,10.468056,48.923611
4,"Meddersheim",NA,"49,776944","7,618333","1514","1514","WMD","WMD","ei","au","au",1,1514,7.618333,49.776944
2,"Metloch (Saar)","Mettlach","49,493889","6,6","1485","1485","WMD","WMD","ei","au","au",1,1485,6.6,49.493889
6,"Mütscheid bei Münster-Eifel",NA,"50,480211","6,843119","1622","1622","WMD","WMD","ei","au","au",1,1622,6.843119,50.480211
6,"Neustadt Erlach ",NA,"49,929748","9,574894","1494","1494","MDT","Franken","ei","au","au",1,1494,9.574894,49.929748
1,"Niederdreiss",NA,"50,59511","7,6286","1622","1622","WMD","MDT","ei","au","au",1,1622,7.6286,50.59511
2,"Niederprüm",NA,"50,19606","6,41225","1576","1576","WMD","WMD","ei","au","au",1,1576,6.41225,50.19606
3,"Obergundershausen",NA,"50,15","7,49","1771","Abschrift 1771","WMD","WMD","ei","au","au",1,1771,7.49,50.15
4,"Oppenau",NA,"48,47361111","8,159444444","1450","15. Jh.","WOD","Schwaben","ei","au","au",1,1450,8.159444444,48.47361111
3,"Patzmannsdorf",NA,"48,63","16,27","1460","1460","OOD","Österreich","ei","au","au",1,1460,16.27,48.63
2,"Piesport (Mosel)",NA,"49,883056","6,916667","1575","1575","WMD","WMD","ei","au","au",1,1575,6.916667,49.883056
2,"Pluwig",NA,"49,690556","6,71","1542","1542","WMD","WMD","ei","au","au",1,1542,6.71,49.690556
3,"Prüm",NA,"50,208056","6,424444","1639","vor 1640","WMD","WMD","ei","au","au",1,1639,6.424444,50.208056
2,"Riol und Velle (Mosel)",NA,"49,793333","6,791389","1537","1537","WMD","WMD","ei","au","au",1,1537,6.791389,49.793333
5,"Romanswiller",NA,"48,64527778","7,406944444","1589","1589","Elsass","Elsass","ei","au","au",1,1589,7.406944444,48.64527778
1,"Rotzenhain ","Rotenhain","50,600833","7,8825","1537","1537","MDT","MDT","ei","au","au",1,1537,7.8825,50.600833
1,"Sandhofen am Rhein bei Mannheim",NA,"49,544695","8,443245","1527","1527","WMD","WMD","ei","au","au",1,1527,8.443245,49.544695
2,"Scheidweiler (Mosel)","Kloster Springiersbach","50,02522","7,069454","1506","1506","WMD","WMD","ei","au","au",1,1506,7.069454,50.02522
