Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
1.0,Bibelnheim,Beblenheim,"48,158333","7,3275",1529,1529,Elsass,Elsass,ei,au,,7.3275,48.158333,1529.0,1.0
5.0,Bischofsheim,,50,8,1503,1503,MDT,Hessen,ei,au,,8.0,50.0,1503.0,1.0
2.0,Buschhoven,Buschhoven (Swisttal),"50,681944","6,978333",1547,1547,WMD,WMD,ei,au,,6.978333,50.681944,1547.0,1.0
3.0,Chiemsee,,"47,86194444","12,40111111",1462,1393-1462,OOD,Baiern,ei,au,,12.40111111,47.86194444,1462.0,1.0
2.0,Coenen,Könen,"49,679628","6,554058",1508,1508,WMD,WMD,ei,au,,6.554058,49.679628,1508.0,1.0
2.0,Dreiborn,Dreiborn (Schleiden) ,"50,545556","6,409722",1419,1419,WMD,WMD,ei,au,,6.409722,50.545556,1419.0,1.0
5.0,Ebersheimmuenster,,"48,311111","7,524167",1612,1612,Elsass,Elsass,ei,au,,7.524167,48.311111,1612.0,1.0
6.0,Ehringen bei Nördlingen,,"48,877778","10,473889",1484,1484,WOD,Schwaben,ei,au,,10.473889,48.877778,1484.0,1.0
6.0,Eibelstadt,,"49,72388889","10,00083333",1396,1396,MDT,Franken,ei,au,,10.00083333,49.72388889,1396.0,1.0
2.0,Eidenborn Falscheid (Saar),,"49,39145","6,90512",1564,1564,WMD,WMD,ei,au,,6.90512,49.39145,1564.0,1.0
2.0,Eidinger Eller (Mosel),Ediger-Eller,"50,098056","7,150833",1550,16. Jh.,WMD,WMD,ei,au,,7.150833,50.098056,1550.0,1.0
2.0,Emmel (Mosel),,"49,883056","6,916667",1532,1532,WMD,WMD,ei,au,,6.916667,49.883056,1532.0,1.0
2.0,Esch,,"49,898056","6,850278",1561,1561,WMD,WMD,ei,au,,6.850278,49.898056,1561.0,1.0
1.0,"Fischbach, Waldfischbach bei Türkheim",,"49,284586","7,652663",1536,1536,WMD,WMD,ei,au,,7.652663,49.284586,1536.0,1.0
5.0,Gleiszweiler,,49,8,1568,1568,Elsass,WMD,ei,au,,8.0,49.0,1568.0,1.0
2.0,Godesberg (bei Bonn),,"50,684722","7,155",1577,1577,WMD,WMD,ei,au,,7.155,50.684722,1577.0,1.0
6.0,Goldburghausen bei Nördlingen,,"48,850556","10,433889",1575,1575,WOD,Schwaben,ei,au,,10.433889,48.850556,1575.0,1.0
2.0,Graach,,"49,935","7,0625",1586,1586,WMD,WMD,ei,au,,7.0625,49.935,1586.0,1.0
5.0,Groß Bockenheim,,50,8,1300,1300,WMD,WMD,ei,au,,8.0,50.0,1300.0,1.0
1.0,Haselach (bei Molsheim),,"48,550556","7,329722",1336,1336,Elsass,Elsass,ei,u,,7.329722,48.550556,1336.0,0.0
1.0,Hengweiler,,"48,667222","7,333333",1584,1584,Elsass,Elsass,ei,au,,7.333333,48.667222,1584.0,1.0
5.0,Hochstetten,,50,8,1543,1543,WMD,WMD,ei,au,,8.0,50.0,1543.0,1.0
6.0,Holzkirchen bei Öttingen,,"48,955278","10,605278",1450,1450,WOD,Schwaben,ei,au,,10.605278,48.955278,1450.0,1.0
6.0,Huisheim bei Allerheim,,"48,824444","10,704722",1505,1505,WOD,Schwaben,ei,au,,10.704722,48.824444,1505.0,1.0
2.0,Igel,,"49,71","6,548056",1537,1537,WMD,WMD,ei,au,,6.548056,49.71,1537.0,1.0
2.0,Immeroth (Eifel),,"50,130278","6,959444",1660,1660,WMD,WMD,ei,au,,6.959444,50.130278,1660.0,1.0
6.0,Itzlingen bei Schneidheim,,"48,905126","10,356232",1625,1625,WOD,Schwaben,ei,au,,10.356232,48.905126,1625.0,1.0
2.0,Kellenbach bei Kirn,,"49,8475","7,495",1560,1560,WMD,WMD,ei,au,,7.495,49.8475,1560.0,1.0
2.0,Kenfuss,,"50,088361","7,020733",1500,1500,WMD,WMD,ei,au,,7.020733,50.088361,1500.0,1.0
2.0,Krahnenforst (bei Münstereifel),Neukirchen (Rheinbach) ,"50,5888","6,92834",1586,1586,WMD,WMD,ei,au,,6.92834,50.5888,1586.0,1.0
3.0,Lauterbach,,"50,64","9,4",1469,1469,MDT,Hessen,ei,au,,9.4,50.64,1469.0,1.0
2.0,Liesdorf (Saar),,"49,3025","6,758889",1458,1458,WMD,WMD,ei,u,,6.758889,49.3025,1458.0,0.0
2.0,"Luxem bei Düren, Zülpich",,"50,319444","7,106667",1544,1544,WMD,WMD,ei,au,,7.106667,50.319444,1544.0,1.0
6.0,Markt Offingen,Offingen bei Wallerstein,"48,923611","10,468056",1381,1381,WOD,Schwaben,ei,au,,10.468056,48.923611,1381.0,1.0
4.0,Meddersheim,,"49,776944","7,618333",1514,1514,WMD,WMD,ei,au,,7.618333,49.776944,1514.0,1.0
2.0,Metloch (Saar),Mettlach,"49,493889","6,6",1485,1485,WMD,WMD,ei,au,,6.6,49.493889,1485.0,1.0
6.0,Mütscheid bei Münster-Eifel,,"50,480211","6,843119",1622,1622,WMD,WMD,ei,au,,6.843119,50.480211,1622.0,1.0
6.0,Neustadt Erlach ,,"49,929748","9,574894",1494,1494,MDT,Franken,ei,au,,9.574894,49.929748,1494.0,1.0
1.0,Niederdreiss,,"50,59511","7,6286",1622,1622,WMD,MDT,ei,au,,7.6286,50.59511,1622.0,1.0
2.0,Niederprüm,,"50,19606","6,41225",1576,1576,WMD,WMD,ei,au,,6.41225,50.19606,1576.0,1.0
3.0,Obergundershausen,,"50,15","7,49",1771,Abschrift 1771,WMD,WMD,ei,au,,7.49,50.15,1771.0,1.0
4.0,Oppenau,,"48,47361111","8,159444444",1450,15. Jh.,WOD,Schwaben,ei,au,,8.159444444,48.47361111,1450.0,1.0
3.0,Patzmannsdorf,,"48,63","16,27",1460,1460,OOD,Österreich,ei,au,,16.27,48.63,1460.0,1.0
2.0,Piesport (Mosel),,"49,883056","6,916667",1575,1575,WMD,WMD,ei,au,,6.916667,49.883056,1575.0,1.0
2.0,Pluwig,,"49,690556","6,71",1542,1542,WMD,WMD,ei,au,,6.71,49.690556,1542.0,1.0
