Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,Jahr_num,variant_bin
1.0,Elhalden (Ehlhalten) Nithusen,,"50,174992","8,368401",1482,1482,MDT,MDT,i,,,8.368401,50.174992,1482.0,0.0
1.0,Embrach,,"47,510278","8,593334",1518,1518,CH,CH,i,u,,8.593334,47.510278,1518.0,0.0
4.0,Emlingen Wiltersdorf Tagsdorf östl von Altkirch,,"47,623611","7,291111",1420,1420,Elsass,Elsass,i,,,7.291111,47.623611,1420.0,0.0
4.0,Enschingen,,"47,671111","7,201667",1420,1420,Elsass,Elsass,i,,,7.201667,47.671111,1420.0,0.0
4.0,Erlenbach Zürichsee,,"47,30472","8,592499",1510,1510,CH,CH,i,u,,8.592499,47.30472,1510.0,0.0
1.0,Ermatingen,,"47,66931","9,0799",1350,14. Jh.,CH,CH,i,,,9.0799,47.66931,1350.0,0.0
1.0,Ermatingen,,"47,66931","9,0799",1518,1518,CH,CH,i,u,,9.0799,47.66931,1518.0,0.0
5.0,Erstein,,"48,42194444","7,661111111",1407,1407,Elsass,Elsass,i,,,7.661111111,48.42194444,1407.0,0.0
1.0,Fischingen,,"47,649722","7,599722",1415,1415,WOD,Schwarzwald,i,u,,7.599722,47.649722,1415.0,0.0
3.0,Flieden,,"50,423056","9,565833",1442,1442,WMD,Hessen,i,,,9.565833,50.423056,1442.0,0.0
5.0,Gebweiler,,"47,9075","7,210277778",1444,1444,Elsass,Elsass,i,,,7.210277778,47.9075,1444.0,0.0
4.0,Gebweiler bei Sulz,,"47,9075","7,210278",1397,1397,Elsass,Elsass,i,,,7.210278,47.9075,1397.0,0.0
4.0,Genzingen,,"49,898056","7,928056",1491,1491,WMD,WMD,i,,,7.928056,49.898056,1491.0,0.0
4.0,Grentzingen,,"47,565278","7,298889",1491,1491,Elsass,WMD,i,,,7.298889,47.565278,1491.0,0.0
4.0,Grentzingen,,"47,565278","7,298889",1420,1420,Elsass,Elsass,i,,,7.298889,47.565278,1420.0,0.0
1.0,Grosskems,Kembs,"47,688889","7,503889",1384,1384,Elsass,Elsass,i,,,7.503889,47.688889,1384.0,0.0
1.0,Hachberg,Hochburg (Emmendingen),"48,116667","7,900556",1341,1341,WOD,Schwarzwald,i,,,7.900556,48.116667,1341.0,0.0
1.0,Haltingen ,,"47,613453","7,612581",1450,15. Jh. ,WOD,WMD,i,,,7.612581,47.613453,1450.0,0.0
1.0,Hege,,"47,508186","8,771379",1396,1396,CH,CH,i,,,8.771379,47.508186,1396.0,0.0
1.0,Hege,,"47,508186","8,771379",1464,1464,CH,CH,i,,,8.771379,47.508186,1464.0,0.0
1.0,Heiligenberg,,"48,538056","7,39",1485,1485,Elsass,Elsass,i,,,7.39,48.538056,1485.0,0.0
4.0,Heimsbrunn bei Mühlhausen,,"47,726667","7,226389",1301,14. Jh. Anfang,Elsass,Elsass,i,u,,7.226389,47.726667,1301.0,0.0
3.0,Helmstatt,,"49,77","9,72",1410,1410,MDT,Franken,i,,,9.72,49.77,1410.0,0.0
2.0,Herbizheim,Herbitzheim (Bas-Rhin),"49,014722","7,084167",1458,1458,WMD,WMD,i,,,7.084167,49.014722,1458.0,0.0
5.0,Hermetsschwil,Hermetschwil,"47,33177","8,34526",1415,1415,CH,CH,i,u,,8.34526,47.33177,1415.0,0.0
3.0,Herolz,,"50,347103","9,557303",1417,1417,MDT,Hessen,i,,,9.557303,50.347103,1417.0,0.0
3.0,Herolz (bei Schlüchtern),,"50,347103","9,557303",1417,1417,MDT,Hessen,i,,,9.557303,50.347103,1417.0,0.0
4.0,Hohenrodern,,"47,78","7,092222",1354,1354,Elsass,Elsass,i,,,7.092222,47.78,1354.0,0.0
5.0,Holderbank,,47,8,1424,1424,CH,CH,i,,,8.0,47.0,1424.0,0.0
1.0,Höngg,,"47,401979","8,499374",1338,1338,CH,CH,i,,,8.499374,47.401979,1338.0,0.0
1.0,Höngg,,"47,401979","8,499374",1338,1338,CH,CH,i,,,8.499374,47.401979,1338.0,0.0
1.0,Hornau Kelchheim,,"50,147222","8,451389",1482,1482,MDT,MDT,i,,,8.451389,50.147222,1482.0,0.0
3.0,Irnich,Schwerfen,"50,643611","6,646667",1491,1491,WMD,WMD,i,,,6.646667,50.643611,1491.0,0.0
3.0,Irnich Schwerfen,,"50,643611","6,646667",1491,1491,WMD,Westfalen,i,,,6.646667,50.643611,1491.0,0.0
