Band,Ort Grimm,Ort XY,Y,X,Jahr eigene,Jahr,Region eigene,Region Grimm,Wein,Haus,Unnamed: 11,X_num,Y_num,year_num,interval,Wein_score,Wein_binary,Haus_score,Haus_binary
1.0,Herspach bei Dierdorf,,"50,575","7,739167",1557,1557,WMD,WMD,,,,7.739167,50.575,1557.0,1550-1599,,,,
2.0,Hetzerad (Mosel),,"49,878333","6,814167",1561,1561,WMD,WMD,,,,6.814167,49.878333,1561.0,1550-1599,,,,
4.0,Hildesheim,,,,1479,1479,NDT,Niedersachsen,,u,,,,1479.0,1450-1499,,,0.0,0.0
4.0,Hildesheim,,,,1430,1430,NDT,Niedersachsen,,,,,,1430.0,1400-1449,,,,
4.0,Hirsingen (bei Altkirch),,,,1303,1303,Elsass,Elsass,,u,,,,1303.0,1300-1349,,,0.0,0.0
4.0,Hochwald,,"49,675389","6,834889",1546,1546,WMD,WMD,,au,,6.834889,49.675389,1546.0,1500-1549,,,1.0,1.0
3.0,Hofmark bei Landshut,,"48,49","12,19",1554,1554,OOD,Baiern,,,,12.19,48.49,1554.0,1550-1599,,,,
3.0,Hofstetten/Hofstätten,,"50,03","9,66",1384,1384,MDT,Franken,,,,9.66,50.03,1384.0,1350-1399,,,,
3.0,Hofstetten/Hofstätten,,"50,03","9,66",1456,1456,MDT,Franken,,,,9.66,50.03,1456.0,1450-1499,,,,
3.0,Hohenhameln,,"52,26","10,066389",1579,1579,NDT,Niedersachsen,,au,,10.066389,52.26,1579.0,1550-1599,,,1.0,1.0
3.0,Hohenlimburg,,"51,35","7,57",1500,um 1500,NDT,Westfalen,,,,7.57,51.35,1500.0,1500-1549,,,,
3.0,Hollerrecht,Ottersberg,"53,10834","9,14286",1604,1604,NDT,Westfalen,,au,,9.14286,53.10834,1604.0,1600-1649,,,1.0,1.0
3.0,"Holtmarke (bei Leerbek, Nesen)",,"52,264444","8,928889",1516,1516,NDT,Niedersachsen,,u,,8.928889,52.264444,1516.0,1500-1549,,,0.0,0.0
3.0,Homer,,"51,782125","6,76852",1490,1490,NDT,Westfalen,,u,,6.76852,51.782125,1490.0,1450-1499,,,0.0,0.0
1.0,Höngg an der Limmat,,"47,401979","8,499374",1338,1338,CH,CH,,u,,8.499374,47.401979,1338.0,1300-1349,,,0.0,0.0
3.0,"Hoppenbruch (bei Hannover, Blumenau)",Hopfenbruch,"52,37974","9,56644",1605,1605,NDT,Niedersachsen,,au,,9.56644,52.37974,1605.0,1600-1649,,,1.0,1.0
6.0,Hospelt,,,,1547,1547,WMD,WMD,,,,,,1547.0,1500-1549,,,,
6.0,Hospelt,,,,1622,1622,WMD,WMD,,au,,,,1622.0,1600-1649,,,1.0,1.0
3.0,Hülsede,,"52,24859","9,36118",NN,NN,NDT,Niedersachsen,,au,,9.36118,52.24859,,,,,1.0,1.0
1.0,Ickstadt bei Epstein,Igstadt,"50,080556","8,329167",1483,1483,MDT,MDT,,au,,8.329167,50.080556,1483.0,1450-1499,,,1.0,1.0
3.0,Illhausen,Illnhausen,"50,4","9,27",1460,1460,MDT,Hessen,,u,,9.27,50.4,1460.0,1450-1499,,,0.0,0.0
1.0,Interlaken,,"46,683331","7,86666",1404,1404,CH,CH,,u,,7.86666,46.683331,1404.0,1400-1449,,,0.0,0.0
2.0,Irsch bei Trier,,"49,724397","6,699228",1497,1497,WMD,WMD,,,,6.699228,49.724397,1497.0,1450-1499,,,,
6.0,Itter,,"51,206","8,945",1765,1765,MDT,WMD,,,,8.945,51.206,1765.0,1750-1799,,,,
6.0,Kelz bei Düren,,"50,768611","6,595",NN,NN,WMD,WMD,,,,6.595,50.768611,,,,,,
2.0,Kempenich (Eifel),,"50,419722","7,118889",1562,1562,WMD,WMD,,au,,7.118889,50.419722,1562.0,1550-1599,,,1.0,1.0
6.0,Kempenich (Eifel),,"50,419722","7,118889",1624,1624,WMD,WMD,,au,,7.118889,50.419722,1624.0,1600-1649,,,1.0,1.0
3.0,Keuchen,,"50,26","8,84",1401,15. Jh. Anfang,MDT,Hessen,,,,8.84,50.26,1401.0,1400-1449,,,,
1.0,Kilchberg Kirchberg Grafschaft Toggenburg,,"47,400001","9,033339",1515,1515,CH,CH,,,,9.033339,47.400001,1515.0,1500-1549,,,,
1.0,Kirburg bei Bad Marienberg,,"50,6775","7,923333",1582,1582,MDT,MDT,,au,,7.923333,50.6775,1582.0,1550-1599,,,1.0,1.0
6.0,Kirchheim am Neckar bei Besigheim,,"49,043889","9,146389",1497,1497,WOD,Schwaben,,au,,9.146389,49.043889,1497.0,1450-1499,,,1.0,1.0
4.0,Kleinbieberau,,,,1481,1481,WMD,WMD,,au,,,,1481.0,1450-1499,,,1.0,1.0
2.0,Kleinich bei Berncastel,,"49,892811","7,186069",NN,NN,WMD,WMD,,,,7.186069,49.892811,,,,,,
3.0,Kleinwelzheim,,"50,04","8,98",1533,1533,MDT,Franken,,,,8.98,50.04,1533.0,1500-1549,,,,
5.0,Klingenberg (im Thurgau),,,,1449,1449,CH,CH,,u,,,,1449.0,1400-1449,,,0.0,0.0
5.0,Klingenmuenster Abtei zu Vorder-Weidenthal,,,,1530,Um 1530,WMD,WMD,,au,,,,1530.0,1500-1549,,,1.0,1.0
6.0,Kloster Baumburg Altenmarkt,Altenmarkt,,,1439,1439,OOD,Baiern,,au,,,,1439.0,1400-1449,,,1.0,1.0
1.0,Kloster Engelberg Hofrodel,,"46,820556","8,409722",1290,13. Jh. Ende,CH,CH,,u,,8.409722,46.820556,1290.0,1250-1299,,,0.0,0.0
1.0,Knonau,,"47,224996","8,461663",1461,1461,CH,CH,,u,,8.461663,47.224996,1461.0,1450-1499,,,0.0,0.0
2.0,Kochenheim (bei Euskirchen),,"50,650556","6,828056",NN,NN,WMD,WMD,,au,,6.828056,50.650556,,,,,1.0,1.0
2.0,Köln,,"50,93805556","6,956944444",1375,1375,WMD,WMD,,,,6.956944444,50.93805556,1375.0,1350-1399,,,,
5.0,Kriessern,,"47,36526","9,60631",1428,1428,CH,CH,,,,9.60631,47.36526,1428.0,1400-1449,,,,
3.0,Krotzenburg,,"50,08","8,98",1415,1415,MDT,Franken,,,,8.98,50.08,1415.0,1400-1449,,,,
2.0,Kruft bei Maria Laach,,"50,386389","7,3375",1482,1482,WMD,WMD,,,,7.3375,50.386389,1482.0,1450-1499,,,,
6.0,Kurrenberg Eifel,,"50,337935","7,157963",1454,1454,WMD,WMD,,,,7.157963,50.337935,1454.0,1450-1499,,,,
6.0,Kurrenberg Eifel,,"50,337935","7,157963",1518,1518,WMD,WMD,,,,7.157963,50.337935,1518.0,1500-1549,,,,
4.0,Kyburg,,"47,4571","8,74445",1487,1487,CH,CH,,,,8.74445,47.4571,1487.0,1450-1499,,,,
1.0,Kyburg bei Zürich,,"47,4571","8,74445",1505,vor 1506,CH,CH,,u,,8.74445,47.4571,1505.0,1500-1549,,,0.0,0.0
1.0,Landau,,"49,199444","8,123056",1295,1295,WMD,WMD,,,,8.123056,49.199444,1295.0,1250-1299,,,,
1.0,Landau,,"49,199444","8,123056",1295,1295,WMD,WMD,,,,8.123056,49.199444,1295.0,1250-1299,,,,
5.0,Landstuhl,,"49,41222222","7,572222222",NN,NN,WMD,WMD,,,,7.572222222,49.41222222,,,,,,
6.0,Langenfeld bei Mayen,,"50,376389","7,093889",1666,1666,WMD,WMD,,,,7.093889,50.376389,1666.0,1650-1699,,,,
2.0,Langsur (Mosel),,"49,724722","6,499722",NN,NN,WMD,WMD,,au,,6.499722,49.724722,,,,,1.0,1.0
6.0,Laudenbach bei Karlstadt am Main,,"49,745833","9,176111",1468,1468,MDT,Franken,,,,9.176111,49.745833,1468.0,1450-1499,,,,
3.0,Lauenstein,,"52,08","9,55",1578,1578,NDT,Niedersachsen,,au,,9.55,52.08,1578.0,1550-1599,,,1.0,1.0
4.0,Lauenstein (Niedersachsen),,,,NN,NN,NDT,Niedersachsen,,au,,,,,,,,1.0,1.0
4.0,Lauenstein bei Worms,,"52,08","9,55",1637,1637,NDT,Niedersachsen,,,,9.55,52.08,1637.0,1600-1649,,,,
1.0,Laufen bei Adelfingen,,"47,67111","8,636943",NN,NN,CH,CH,,u,,8.636943,47.67111,,,,,0.0,0.0
3.0,Lauterbach,,"50,64","9,4",1569,1569,MDT,Hessen,,,,9.4,50.64,1569.0,1550-1599,,,,
3.0,Lauterbach,,"50,64","9,4",1350,14. Jh.,MDT,Hessen,,,,9.4,50.64,1350.0,1350-1399,,,,
1.0,Lautern ,Kaiserslautern,"49,44371","7,76987",NN,NN,WMD,WMD,,u,,7.76987,49.44371,,,,,0.0,0.0
1.0,Lax (Graubünden),,"46,81","9,26",1303,1303,CH,CH,,,,9.26,46.81,1303.0,1300-1349,,,,
4.0,Leberach bei Schletsstadt,,"48,259444","7,454167",1202,13. Jh. Anfang,Elsass,Elsass,,u,,7.454167,48.259444,1202.0,1200-1249,,,0.0,0.0
2.0,Leiningen (Saar),,"50,133333","7,570278",NN,NN,WMD,WMD,,,,7.570278,50.133333,,,,,,
3.0,Lichenrode,,"51,02","9,59",1388,1388,MDT,Hessen,,,,9.59,51.02,1388.0,1350-1399,,,,
6.0,Liebenau,,"47,936667","12,9325",NN,NN,OOD,Baiern,,,,12.9325,47.936667,,,,,,
1.0,Limburg an der Lahn,,"50,38333333","8,066666667",1374,1374,MDT,WMD,,,,8.066666667,50.38333333,1374.0,1350-1399,,,,
1.0,Linz am Rhein Nonnenkloster,,"50,568611","7,283056",1501,16. Jh. Anfang,WMD,WMD,,,,7.283056,50.568611,1501.0,1500-1549,,,,
3.0,Lohmar,,"50,82","7,22",1570,1570,WMD,Westfalen,,,,7.22,50.82,1570.0,1550-1599,,,,
3.0,Lohr,,"49,99","9,58",1450,1425–1457,MDT,Franken,,au,,9.58,49.99,1450.0,1450-1499,,,1.0,1.0
2.0,Lommersum (bei Zülpich),,"50,709444","6,796667",NN,NN,WMD,WMD,,au,,6.796667,50.709444,,,,,1.0,1.0
6.0,Losheim,,"49,509777","6,756679",1590,1590,WMD,MDT,,,,6.756679,49.509777,1590.0,1550-1599,,,,
1.0,Loßburg Schemberg Biechlinsberg Renharzow,,"48,411389","8,453056",1539,1539,WOD,Schwaben,,au,,8.453056,48.411389,1539.0,1500-1549,,,1.0,1.0
2.0,Lössenich bei Zülpich,,"50,672222","6,669167",1529,1529,WMD,WMD,,,,6.669167,50.672222,1529.0,1500-1549,,,,
3.0,Lottum,,"51,44","6,11",1428,1428,NDT,Westfalen,,,,6.11,51.44,1428.0,1400-1449,,,,
4.0,Luszhart bei Bruchsal,,"49,1243","8,5979",1434,1434,WOD,Schwaben,,,,8.5979,49.1243,1434.0,1400-1449,,,,
4.0,Lützelau FAKE (Werkmüller 1972: 163),,,,NN,NN,,,,,,,,,,,,,
2.0,Lymersdorf = Leimersdorf bei Remagen,,"50,585245","7,133571",1559,1559,WMD,WMD,,,,7.133571,50.585245,1559.0,1550-1599,,,,
5.0,Magdenau,,"47,40160262","9,17066575",1450,15. Jh.,CH,CH,,u,,9.17066575,47.40160262,1450.0,1450-1499,,,0.0,0.0
6.0,Maikammer,,"49,30638889","8,129444444",1577,1577,WMD,WMD,,au,,8.129444444,49.30638889,1577.0,1550-1599,,,1.0,1.0
1.0,Mainz,,50,"8,271111111",NN,NN,MDT,WMD,,,,8.271111111,50.0,,,,,,
1.0,Mainz FAKE (Werkmüller 1972: 162),,50,"8,271111111",Anfang 15. Jh.,Anfang 15. Jh.,,,,,,8.271111111,50.0,1425.0,1400-1449,,,,
3.0,Malching,,"48,31","13,19",1350,14. Jh.,OOD,Baiern,,,,13.19,48.31,1350.0,1350-1399,,,,
4.0,Malters an der Emme (Lucern),,,,1300,Anfang 14. Jh.,CH,CH,,u,,,,1300.0,1300-1349,,,0.0,0.0
2.0,Mannenbach bei Beltheim,,"50,111026","7,432213",1601,1601,WMD,WMD,,,,7.432213,50.111026,1601.0,1600-1649,,,,
6.0,Marbach im Rheinthal bei Altstetten St. Gallen,,"47,39202","9,56889",1487,1487,CH,CH,,u,,9.56889,47.39202,1487.0,1450-1499,,,0.0,0.0
6.0,Martrachdorf,,"50,552222","7,714444",1548,1548,WMD,WMD,,,,7.714444,50.552222,1548.0,1500-1549,,,,
5.0,Mattstall,,"48,986807","7,760403",NN,NN,Elsass,Elsass,,au,,7.760403,48.986807,,,,,1.0,1.0
6.0,Mayen,,"50,329615","7,221258",1605,1605,WMD,WMD,,,,7.221258,50.329615,1605.0,1600-1649,,,,
3.0,Mayerhofen und Bergern/Berging,,"48,14","14,65",1450,15. Jh,OOD,AT,,,,14.65,48.14,1450.0,1450-1499,,,,
3.0,Medebach,,"51,198056","8,704722",1580,1580,NDT,Westfalen,,au,,8.704722,51.198056,1580.0,1550-1599,,,1.0,1.0
3.0,Meiningen,,"50,57","10,42",1450,1450,MDT,Franken,,,,10.42,50.57,1450.0,1450-1499,,,,
5.0,Melbach,,"50,38055556","8,808333333",1475,1475,MDT,Hessen,,u,,8.808333333,50.38055556,1475.0,1450-1499,,,0.0,0.0
4.0,Merlischachen bei Kusznacht,,"47,065725","8,408202",1550,16. Jh.,CH,CH,,,,8.408202,47.065725,1550.0,1550-1599,,,,
4.0,Mettau (bei Laufenburg im Argau),,,,1428,1428,CH,CH,,u,,,,1428.0,1400-1449,,,0.0,0.0
1.0,Molkirch bei Berse und Haslach,,"48,5072","7,3861",1548,1548,Elsass,Elsass,,u_au,,7.3861,48.5072,1548.0,1500-1549,,,0.5,
3.0,Monre,,"50,79","10,1",1457,1457,MDT,Thüringen,,,,10.1,50.79,1457.0,1450-1499,,,,
2.0,Monzel bei Osan (Mosel),,"49,921667","6,955278",1594,1594,WMD,WMD,,,,6.955278,49.921667,1594.0,1550-1599,,,,
2.0,Moselweis bei Koblenz,,"50,350833","7,558611",1580,1580,WMD,WMD,,,,7.558611,50.350833,1580.0,1550-1599,,,,
6.0,Moshaim bei Haidau Regensburg,,"48,925502","12,270934",1301,14. Jh. Anfang,OOD,Baiern,,au,,12.270934,48.925502,1301.0,1300-1349,,,1.0,1.0
6.0,Mühldorf (bei Öttingen),,,,1588,1588,OOD,Baiern,,au,,,,1588.0,1550-1599,,,1.0,1.0
3.0,Münder,,"52,2","9,47",NN,NN,NDT,Niedersachsen,,,,9.47,52.2,,,,,,
4.0,Münster bei Colmar,,"48,041389","7,134167",1498,1498,Elsass,Elsass,,,,7.134167,48.041389,1498.0,1450-1499,,,,
2.0,Münstermainfeld,,"50,2475","7,363056",1372,1372,WMD,WMD,,,,7.363056,50.2475,1372.0,1350-1399,,,,
6.0,Mürstert bei Berncastel,,"49,916111","7,069444",1672,1672,WMD,WMD,,,,7.069444,49.916111,1672.0,1650-1699,,,,
4.0,Muttenz,,"47,52768","7,645004",1464,1464,CH,CH,,,,7.645004,47.52768,1464.0,1450-1499,,,,
