"Band","Ort Grimm","Ort XY","Y","X","Jahr eigene","Jahr","Region eigene","Region Grimm","Wein","Haus","Variante","Diph_Bin","Jahr_num","X_num","Y_num"
1,"Elhalden (Ehlhalten) Nithusen",NA,"50,174992","8,368401","1482","1482","MDT","MDT","i",NA,"i",0,1482,8.368401,50.174992
1,"Embrach",NA,"47,510278","8,593334","1518","1518","CH","CH","i","u","i",0,1518,8.593334,47.510278
4,"Emlingen Wiltersdorf Tagsdorf östl von Altkirch",NA,"47,623611","7,291111","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.291111,47.623611
4,"Enschingen",NA,"47,671111","7,201667","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.201667,47.671111
4,"Erlenbach Zürichsee",NA,"47,30472","8,592499","1510","1510","CH","CH","i","u","i",0,1510,8.592499,47.30472
1,"Ermatingen",NA,"47,66931","9,0799","1350","14. Jh.","CH","CH","i",NA,"i",0,1350,9.0799,47.66931
1,"Ermatingen",NA,"47,66931","9,0799","1518","1518","CH","CH","i","u","i",0,1518,9.0799,47.66931
5,"Erstein",NA,"48,42194444","7,661111111","1407","1407","Elsass","Elsass","i",NA,"i",0,1407,7.661111111,48.42194444
1,"Fischingen",NA,"47,649722","7,599722","1415","1415","WOD","Schwarzwald","i","u","i",0,1415,7.599722,47.649722
3,"Flieden",NA,"50,423056","9,565833","1442","1442","WMD","Hessen","i",NA,"i",0,1442,9.565833,50.423056
5,"Gebweiler",NA,"47,9075","7,210277778","1444","1444","Elsass","Elsass","i",NA,"i",0,1444,7.210277778,47.9075
4,"Gebweiler bei Sulz",NA,"47,9075","7,210278","1397","1397","Elsass","Elsass","i",NA,"i",0,1397,7.210278,47.9075
4,"Genzingen",NA,"49,898056","7,928056","1491","1491","WMD","WMD","i",NA,"i",0,1491,7.928056,49.898056
4,"Grentzingen",NA,"47,565278","7,298889","1491","1491","Elsass","WMD","i",NA,"i",0,1491,7.298889,47.565278
4,"Grentzingen",NA,"47,565278","7,298889","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.298889,47.565278
1,"Grosskems","Kembs","47,688889","7,503889","1384","1384","Elsass","Elsass","i",NA,"i",0,1384,7.503889,47.688889
1,"Hachberg","Hochburg (Emmendingen)","48,116667","7,900556","1341","1341","WOD","Schwarzwald","i",NA,"i",0,1341,7.900556,48.116667
1,"Haltingen ",NA,"47,613453","7,612581","1450","15. Jh. ","WOD","WMD","i",NA,"i",0,1450,7.612581,47.613453
1,"Hege",NA,"47,508186","8,771379","1396","1396","CH","CH","i",NA,"i",0,1396,8.771379,47.508186
1,"Hege",NA,"47,508186","8,771379","1464","1464","CH","CH","i",NA,"i",0,1464,8.771379,47.508186
1,"Heiligenberg",NA,"48,538056","7,39","1485","1485","Elsass","Elsass","i",NA,"i",0,1485,7.39,48.538056
4,"Heimsbrunn bei Mühlhausen",NA,"47,726667","7,226389","1301","14. Jh. Anfang","Elsass","Elsass","i","u","i",0,1301,7.226389,47.726667
3,"Helmstatt",NA,"49,77","9,72","1410","1410","MDT","Franken","i",NA,"i",0,1410,9.72,49.77
2,"Herbizheim","Herbitzheim (Bas-Rhin)","49,014722","7,084167","1458","1458","WMD","WMD","i",NA,"i",0,1458,7.084167,49.014722
5,"Hermetsschwil","Hermetschwil","47,33177","8,34526","1415","1415","CH","CH","i","u","i",0,1415,8.34526,47.33177
3,"Herolz",NA,"50,347103","9,557303","1417","1417","MDT","Hessen","i",NA,"i",0,1417,9.557303,50.347103
3,"Herolz (bei Schlüchtern)",NA,"50,347103","9,557303","1417","1417","MDT","Hessen","i",NA,"i",0,1417,9.557303,50.347103
4,"Hohenrodern",NA,"47,78","7,092222","1354","1354","Elsass","Elsass","i",NA,"i",0,1354,7.092222,47.78
5,"Holderbank",NA,"47","8","1424","1424","CH","CH","i",NA,"i",0,1424,8,47
1,"Höngg",NA,"47,401979","8,499374","1338","1338","CH","CH","i",NA,"i",0,1338,8.499374,47.401979
1,"Höngg",NA,"47,401979","8,499374","1338","1338","CH","CH","i",NA,"i",0,1338,8.499374,47.401979
1,"Hornau Kelchheim",NA,"50,147222","8,451389","1482","1482","MDT","MDT","i",NA,"i",0,1482,8.451389,50.147222
3,"Irnich","Schwerfen","50,643611","6,646667","1491","1491","WMD","WMD","i",NA,"i",0,1491,6.646667,50.643611
3,"Irnich Schwerfen",NA,"50,643611","6,646667","1491","1491","WMD","Westfalen","i",NA,"i",0,1491,6.646667,50.643611
2,"Ittel",NA,"49,87036","6,5905","1561","1561","WMD","WMD","i",NA,"i",0,1561,6.5905,49.87036
1,"Ittenheim ",NA,"48,604167","7,594444","1550","16. Jh.","Elsass","Elsass","i",NA,"i",0,1550,7.594444,48.604167
4,"Jebsheim bei Colmar",NA,"48,123611","7,476667","1590","16. Jh. Ende","Elsass","Elsass","i",NA,"i",0,1590,7.476667,48.123611
4,"Karspach",NA,"47,61527778","7,211944444","1420","1420","Elsass","Elsass","i",NA,"i",0,1420,7.211944444,47.61527778
1,"Kirchzarten",NA,"47,96499","7,95708","1395","1395","WOD","Schwarzwald","i",NA,"i",0,1395,7.95708,47.96499
1,"Kleinkembs",NA,"47,6881","7,5234","1350","1350","WOD","Schwarzwald","i","u","i",0,1350,7.5234,47.6881
4,"Knonau",NA,"47,224996","8,461663","1414","1414","CH","CH","i",NA,"i",0,1414,8.461663,47.224996
5,"Koellikon","Köllikon","47","8","1401","15. Jh. Anfang","CH","CH","i","u","i",0,1401,8,47
3,"Langenerringen",NA,"48,143056","10,760833","1378","1378","WOD","Schwaben","i",NA,"i",0,1378,10.760833,48.143056
5,"Limburg","Limburg an der Lahn","50,38333333","8,066666667","1448","1448","MDT","WMD","i","u","i",0,1448,8.066666667,50.38333333
1,"Lorsch",NA,"49,653889","8,5675","1423","1423","MDT","MDT","i","u","i",0,1423,8.5675,49.653889
1,"Lussheim am Rhein bei Speyer",NA,"49,299722","8,5","1516","1516","WMD","WMD","i",NA,"i",0,1516,8.5,49.299722
4,"Lutterbach",NA,"47,75972222","7,280555556","1401","15. Jh. Anfang","Elsass","Elsass","i",NA,"i",0,1401,7.280555556,47.75972222
2,"Metloch (Saar)","Mettlach","49,493889","6,6","1493","1493","WMD","WMD","i",NA,"i",0,1493,6.6,49.493889
4,"Mittelwir bei Sigolsheim",NA,"48,150833","7,319444","1585","1585","Elsass","Elsass","i",NA,"i",0,1585,7.319444,48.150833
2,"Montcler","Burg Montclair ","49,495917","6,5575","1521","1521","WMD","WMD","i",NA,"i",0,1521,6.5575,49.495917
1,"Mülheim",NA,"47,599997","8,999994","1475","1475","CH","CH","i",NA,"i",0,1475,8.999994,47.599997
3,"Mümlingen","Mümling bei Michelstadt","49,831561","9,143929","1422","1422","MDT","Franken","i",NA,"i",0,1422,9.143929,49.831561
5,"Muri",NA,"47","8","1413","1413","CH","CH","i","u","i",0,1413,8,47
