"Lexem","N","N_mono","N_diph","edf","chi_sq","p_value","deviance_explained"
"Wein",418,164,254,19.2089274862868,113.643277654562,0,0.447549292229709
"Haus",231,92,139,22.1490753039744,65.6183163753333,0.000181817638554738,0.669266553400293
